	substrate_id	product_id	enzymes	reaction_id	substrate_db_links	product_db_links	direction	balance	product_hmdb_id	substrate_hmdb_id	substrate_name	product_name
7	CPD3DJ-11366	PHOSPHORYL-ETHANOLAMINE		RXN3DJ-11230	Sphingosine-1-phosphate;46878582;MTBLC60119;HMDB00277;60119;C06124	Phosphoethanolamine;MTBLC58190;HMDB00224;5415641;58190;7059434;C00346;1071-23-4	LEFT-TO-RIGHT	:BALANCED	HMDB00224	HMDB00277	sphingosine 1-phosphate	phosphoethanolamine
17	2-KETOGLUTARATE	3-KETOBUTYRATE	ENZRXN66-6175	HYDROXYACID-OXOACID-TRANSHYDROGENASE-RXN	Oxoglutaric;akg;MTBLC16810;HMDB00208;144236;16810;164533;C00000769;C00026;328-50-7	Acetoacetic;acac;MTBLC13705;HMDB00060;c0069;5341896;6971017;13705;C00164;541-50-4	unknown	:BALANCED	HMDB00060	HMDB00208	alpha-ketoglutarate	acetoacetate
24	GLY	GLYCOCHENODEOXYCHOLIC_ACID	ENZRXN66-6037	RXN-9851	57305;Glycine;gly;MTBLC15428;HMDB00123;DB00145;730;5257127;C00001361;C00037;56-40-6	Glycochenodeoxycholic;MTBLC36252;HMDB00637;7827719;9548796;36252;C05466;640-79-9	LEFT-TO-RIGHT	:BALANCED	HMDB00637	HMDB00123	glycine	glycochenodeoxycholate
27	TAURINE	CPD-3743	ENZRXN66-6035	RXN-9800	Taurine;taur;MTBLC507393;HMDB00251;507393;4068592;C00245;107-35-7	Taurocholic;MTBLC36257;HMDB00036;7827717;36257;9548794;C05122	LEFT-TO-RIGHT	:BALANCED	HMDB00036	HMDB00251	taurine	taurocholate
41	SER	PYRUVATE	ENZRXN66-3545	4.3.1.17-RXN	Serine;ser__L;MTBLC33384;HMDB00187;33384;6857581;C00065;56-45-1	Pyruvic;pyr;MTBLC15361;HMDB00243;96901;107735;C00001200;15361;C00022;127-17-3;c0159	PHYSIOL-LEFT-TO-RIGHT	:BALANCED	HMDB00243	HMDB00187	serine	pyruvate
44	L-CYSTATHIONINE	2-OXOBUTANOATE	ENZRXN66-399	RXN-15130	Cystathionine;cyst__L;MTBLC58161;HMDB00099;58161;C02291;25243997;56-88-2	3-methyl;2obut;MTBLC16763;HMDB00005;2829426;16763;3593277;C00109;600-18-0	PHYSIOL-LEFT-TO-RIGHT	:BALANCED	HMDB00005	HMDB00099	cystathionine	alpha-ketobutyrate
46	SARCOSINE	GLY	ENZRXN66-19849	SARCOSINE-DEHYDROGENASE-RXN	Sarcosine;sarcs;MTBLC57433;HMDB00271;57433;7311726;C00213;107-97-1	57305;Glycine;gly;MTBLC15428;HMDB00123;DB00145;730;5257127;C00001361;C00037;56-40-6	unknown	:BALANCED	HMDB00123	HMDB00271	sarcosine	glycine
56	2-KETOGLUTARATE	GLT	ENZRXN66-19731	CYSTEINE-AMINOTRANSFERASE-RXN	Oxoglutaric;akg;MTBLC16810;HMDB00208;144236;16810;164533;C00000769;C00026;328-50-7	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	REVERSIBLE	:BALANCED	HMDB00148	HMDB00208	alpha-ketoglutarate	glutamate
57	GLT	2-KETOGLUTARATE	ENZRXN66-19731	CYSTEINE-AMINOTRANSFERASE-RXN	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	Oxoglutaric;akg;MTBLC16810;HMDB00208;144236;16810;164533;C00000769;C00026;328-50-7	REVERSIBLE_flipped	:BALANCED	HMDB00208	HMDB00148	glutamate	alpha-ketoglutarate
65	ASCORBATE	ASCORBATE	ENZRXN66-19826;ENZRXN66-19825	RXN66-560	Vitamin;ascb__L;MTBLC38290;HMDB00044;102746;54679076;38290;C00001179;C00072;50-81-7	Vitamin;ascb__L;MTBLC38290;HMDB00044;102746;54679076;38290;C00001179;C00072;50-81-7	LEFT-TO-RIGHT	:BALANCED	HMDB00044	HMDB00044	ascorbate (vitamin c)	ascorbate (vitamin c)
66	ARG	ARG	ENZRXN66-17682;ENZRXN66-17672	RXN66-448	Arginine;arg__L;MTBLC32682;HMDB00517;1266045;32682;1549073;C00062;74-79-3	Arginine;arg__L;MTBLC32682;HMDB00517;1266045;32682;1549073;C00062;74-79-3	LEFT-TO-RIGHT	:BALANCED	HMDB00517	HMDB00517	arginine	arginine
67	GLY	GLY	ENZRXN66-17507	RXN66-426	57305;Glycine;gly;MTBLC15428;HMDB00123;DB00145;730;5257127;C00001361;C00037;56-40-6	57305;Glycine;gly;MTBLC15428;HMDB00123;DB00145;730;5257127;C00001361;C00037;56-40-6	LEFT-TO-RIGHT	:BALANCED	HMDB00123	HMDB00123	glycine	glycine
71	ILE	2-KETO-3-METHYL-VALERATE	ENZRXN66-2409;ENZRXN66-1793	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Isoleucine;ile__L;MTBLC58045;HMDB00172;58045;7043901;73-32-5;C00407	(S)-3-Methyl-2-oxopentanoic;3mop;MTBLC35146;HMDB00491;19951083;35146;6857401;C00671;1460-34-0	LEFT-TO-RIGHT	:BALANCED	HMDB00491	HMDB00172	isoleucine	3-methyl-2-oxovalerate
72	ILE	GLT	ENZRXN66-2409;ENZRXN66-1793	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Isoleucine;ile__L;MTBLC58045;HMDB00172;58045;7043901;73-32-5;C00407	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	LEFT-TO-RIGHT	:BALANCED	HMDB00148	HMDB00172	isoleucine	glutamate
73	2-KETOGLUTARATE	2-KETO-3-METHYL-VALERATE	ENZRXN66-2409;ENZRXN66-1793	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Oxoglutaric;akg;MTBLC16810;HMDB00208;144236;16810;164533;C00000769;C00026;328-50-7	(S)-3-Methyl-2-oxopentanoic;3mop;MTBLC35146;HMDB00491;19951083;35146;6857401;C00671;1460-34-0	LEFT-TO-RIGHT	:BALANCED	HMDB00491	HMDB00208	alpha-ketoglutarate	3-methyl-2-oxovalerate
74	2-KETOGLUTARATE	GLT	ENZRXN66-2409;ENZRXN66-1793	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Oxoglutaric;akg;MTBLC16810;HMDB00208;144236;16810;164533;C00000769;C00026;328-50-7	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	LEFT-TO-RIGHT	:BALANCED	HMDB00148	HMDB00208	alpha-ketoglutarate	glutamate
75	PHE	PHE	ENZRXN66-17669	RXN66-445	Phenylalanine;phe__L;MTBLC58095;HMDB00159;58095;6925665;C00079;63-91-2	Phenylalanine;phe__L;MTBLC58095;HMDB00159;58095;6925665;C00079;63-91-2	LEFT-TO-RIGHT	:BALANCED	HMDB00159	HMDB00159	phenylalanine	phenylalanine
83	ILE	ILE	ENZRXN66-17695	RXN66-458	Isoleucine;ile__L;MTBLC58045;HMDB00172;58045;7043901;73-32-5;C00407	Isoleucine;ile__L;MTBLC58045;HMDB00172;58045;7043901;73-32-5;C00407	LEFT-TO-RIGHT	:BALANCED	HMDB00172	HMDB00172	isoleucine	isoleucine
84	3-KETOBUTYRATE	3-KETOBUTYRATE	ENZRXN66-17665;ENZRXN66-17661;ENZRXN66-17656	RXN66-442	Acetoacetic;acac;MTBLC13705;HMDB00060;c0069;5341896;6971017;13705;C00164;541-50-4	Acetoacetic;acac;MTBLC13705;HMDB00060;c0069;5341896;6971017;13705;C00164;541-50-4	LEFT-TO-RIGHT	:BALANCED	HMDB00060	HMDB00060	acetoacetate	acetoacetate
85	GLC	GLC	ENZRXN66-14274	TRANS-RXN66-920	33582;glc__D;MTBLC15903;HMDB00516;DB02379;18802415;50-99-7;15903;C00221;64689	33582;glc__D;MTBLC15903;HMDB00516;DB02379;18802415;50-99-7;15903;C00221;64689	LEFT-TO-RIGHT	:BALANCED	HMDB00516	HMDB00516	glucose	glucose
87	SER	SER	ENZRXN66-17920;ENZRXN66-17699	RXN66-455	Serine;ser__L;MTBLC33384;HMDB00187;33384;6857581;C00065;56-45-1	Serine;ser__L;MTBLC33384;HMDB00187;33384;6857581;C00065;56-45-1	LEFT-TO-RIGHT	:BALANCED	HMDB00187	HMDB00187	serine	serine
88	HIS	HIS	ENZRXN66-17637	RXN66-434	Histidine;his__L;MTBLC57595;HMDB00177;57595;6971009;C00135;71-00-1	Histidine;his__L;MTBLC57595;HMDB00177;57595;6971009;C00135;71-00-1	LEFT-TO-RIGHT	:BALANCED	HMDB00177	HMDB00177	histidine	histidine
90	GLT	GLT	ENZRXN66-17701;ENZRXN66-17700;ENZRXN66-15850	TRANS-RXN66-1041	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	Glutamic;glu__L;MTBLC29985;HMDB00148;4573882;5460299;C00001358;29985;C00025;56-86-0	LEFT-TO-RIGHT	:BALANCED	HMDB00148	HMDB00148	glutamate	glutamate
