	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
0	109	Glucose	Glucose	HMDB0000122	HMDB0000122	glucose	glucose
1	124	Methionine	Methionine	HMDB0000696	HMDB0000696	methionine	methionine
2	130	Cholesterol	Cholesterol	HMDB0000067	HMDB0000067	cholesterol	cholesterol
3	157	Riboflavin	Riboflavin	HMDB0000244	HMDB0000244	riboflavin (vitamin b2)	riboflavin (vitamin b2)
4	159	Creatinine	Creatinine	HMDB0000562	HMDB0000562	creatinine	creatinine
5	160	a-Tocopherol	a-Tocopherol	HMDB0001893	HMDB0001893	alpha-tocopherol	alpha-tocopherol
6	177	Cystathionine	Cysteine	HMDB0000099	HMDB0000574	cystathionine	cysteine
7	216	Serine	Serine	HMDB0000187	HMDB0000187	serine	serine
8	177	sphingosine-1-phosphate	Sphingosine	HMDB0000277	HMDB0000252	sphingosine 1-phosphate	sphingosine
9	6	Methionine	Tyrosine	HMDB0000696	HMDB0000158	methionine	tyrosine
10	7	valine	Tyrosine	HMDB0000883	HMDB0000158	valine	tyrosine
11	8	GCA	GCDCA	HMDB0000138	HMDB0000637	glycohyocholate	glycochenodeoxycholate
12	9	TCDCA	GCDCA	HMDB0000951	HMDB0000637	taurochenodeoxycholate	glycochenodeoxycholate
13	10	Ornithine	Arginine	HMDB0000214	HMDB0000517	ornithine	arginine
14	11	Ornithine	Citrulline	HMDB0000214	HMDB0000904	ornithine	citrulline
15	12	Arginine	Ornithine	HMDB0000517	HMDB0000214	arginine	ornithine
16	13	Citrulline	Ornithine	HMDB0000904	HMDB0000214	citrulline	ornithine
17	16	Histidine	valine	HMDB0000177	HMDB0000883	histidine	valine
18	17	Tyrosine	valine	HMDB0000158	HMDB0000883	tyrosine	valine
19	18	GCDCA	GCA	HMDB0000637	HMDB0000138	glycochenodeoxycholate	glycohyocholate
20	19	GCDCA	TCDCA	HMDB0000637	HMDB0000951	glycochenodeoxycholate	taurochenodeoxycholate
21	22	Tyrosine	Methionine	HMDB0000158	HMDB0000696	tyrosine	methionine
22	25	valine	Histidine	HMDB0000883	HMDB0000177	valine	histidine
23	18	L-Glutamic acid	L-Glutamic acid	HMDB0000148	HMDB0000148	glutamate	glutamate
24	24	L-Glutamic acid	L-Glutamic acid	HMDB0000148	HMDB0000148	glutamate	glutamate
25	24	Thyroxine (T4)	Thyroxine (T4)	HMDB0000248	HMDB0000248	thyroxine	thyroxine
26	4	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
27	5	Phosphate	Phosphate	HMDB0001429	HMDB0001429	phosphate	phosphate
